idx,Latitude,Longitude,Angle,Speed,HDOP,MatchedWayID,Deviation
0,37.49635,127.0283,326.0,72.0,1.0,521766182,¡§ªÛ
1,37.4965,127.028183,347.4,72.0,1.0,521766182,¡§ªÛ
2,37.496667,127.028133,336.0,72.0,1.0,521766182,¡§ªÛ
3,37.496833,127.028033,335.1,72.0,1.0,521766182,¡§ªÛ
4,37.497,127.027933,335.1,72.0,1.0,521766182,¡§ªÛ
5,37.497167,127.02785,351.5,72.0,1.0,521766182,¡§ªÛ
6,37.497333,127.027817,337.6,72.0,1.0,521766182,¡§ªÛ
7,37.4975,127.027717,320.4,69.5,1.0,990628459,¡§ªÛ
8,37.497633,127.027583,338.5,69.6,1.0,990628459,¡§ªÛ
9,37.4978,127.0275,328.8,65.7,1.0,990628459,¡§ªÛ
10,37.49795,127.0274,292.6,66.5,1.0,304445274,¿Ã≈ª
11,37.498,127.0272,251.0,100.2,1.0,305539406,¿Ã≈ª
12,37.497917,127.0269,249.3,72.0,1.0,305539406,¿Ã≈ª
13,37.497867,127.0267,245.6,72.0,1.0,480850873,¿Ã≈ª
14,37.497783,127.026483,245.6,72.0,1.0,480850873,¿Ã≈ª
15,37.497717,127.026283,256.4,72.0,1.0,504512001,¿Ã≈ª
16,37.497667,127.026067,256.4,72.0,1.0,504512001,¿Ã≈ª
17,37.497633,127.025833,256.4,72.0,1.0,504227065,¿Ã≈ª
