idx,Latitude,Longitude,Angle,Speed,HDOP,MatchedWayID,Deviation
0,37.497,127.02815,338.3,72.0,1.0,521766182,정상
1,37.497167,127.028067,338.3,72.0,1.0,521766182,정상
2,37.497333,127.027983,338.3,72.0,1.0,521766182,정상
3,37.4975,127.0279,338.3,72.0,1.0,990628459,정상
4,37.497667,127.027817,325.7,66.5,1.0,990628459,정상
5,37.497817,127.0277,181.3,37.4,1.0,521766174,이탈
6,37.497717,127.0277,339.3,60.2,1.0,990628459,정상
7,37.49785,127.027633,108.2,60.0,1.0,494952007,이탈
8,37.497817,127.027817,331.6,77.0,1.0,990628459,정상
9,37.497983,127.0277,277.6,35.2,1.0,472042766,이탈
10,37.498,127.027583,136.2,55.4,1.0,523141074,이탈
11,37.4979,127.027717,105.1,44.1,1.0,494952007,이탈
12,37.497867,127.02785,339.2,79.3,1.0,990628459,정상
13,37.49805,127.02775,334.5,79.3,1.0,218864485,정상
14,37.498233,127.02765,333.4,95.2,1.0,218864485,정상
15,37.498433,127.027517,0.0,95.2,1.0,218864485,정상
16,37.498433,127.027517,342.8,98.2,1.0,218864485,정상
17,37.498667,127.027417,334.4,90.7,1.0,520307304,정상
18,37.498883,127.0273,334.4,90.7,1.0,520307304,정상
