idx,Latitude,Longitude,Angle,Speed,HDOP,MatchedWayID,Deviation
0,37.499033,127.02715,150.6,72.0,1.0,523141074,¿Ã≈ª
1,37.498883,127.027267,151.2,72.0,1.0,523141074,¿Ã≈ª
2,37.498733,127.027367,160.6,72.0,1.0,523141074,¿Ã≈ª
3,37.49855,127.02745,160.6,72.0,1.0,305539406,¿Ã≈ª
4,37.498383,127.027517,159.5,72.0,1.0,523141074,¿Ã≈ª
5,37.498217,127.0276,159.5,72.0,1.0,523141074,¿Ã≈ª
6,37.49805,127.027683,159.5,72.0,1.0,523141074,¿Ã≈ª
7,37.497883,127.02775,159.5,72.0,1.0,521766174,¿Ã≈ª
8,37.497717,127.027833,159.5,72.0,1.0,521766174,¿Ã≈ª
9,37.49755,127.027917,159.5,72.0,1.0,521766174,¿Ã≈ª
10,37.497383,127.028,159.5,72.0,1.0,1229817205,¿Ã≈ª
11,37.4972,127.028083,159.5,72.0,1.0,1229817205,¿Ã≈ª
12,37.497033,127.02815,159.5,72.0,1.0,1229817205,¿Ã≈ª
13,37.496867,127.028233,159.5,72.0,1.0,1229817205,¿Ã≈ª
14,37.4967,127.028317,159.5,72.0,1.0,218873820,¿Ã≈ª
15,37.496533,127.0284,159.5,72.0,1.0,218873820,¿Ã≈ª
16,37.496367,127.028467,159.5,72.0,1.0,218873820,¿Ã≈ª
