idx,Latitude,Longitude,Angle,Speed,HDOP,MatchedWayID,Deviation
0,37.49695,127.028183,345.8,54.1,1.0,521766182,정상
1,37.497083,127.028133,345.8,54.1,1.0,521766182,정상
2,37.497217,127.0281,345.8,54.1,1.0,521766182,정상
3,37.49735,127.02805,345.8,54.1,1.0,628232693,이탈
4,37.497483,127.028017,264.3,180.0,1.0,472042766,이탈
5,37.497433,127.02745,51.2,195.6,1.0,914407834,이탈
6,37.49775,127.027933,345.8,54.1,1.0,914407834,이탈
7,37.497867,127.027883,346.6,49.6,1.0,990628459,정상
8,37.498,127.02785,345.1,58.3,1.0,990628459,정상
9,37.498133,127.0278,345.8,54.1,1.0,218864485,정상
10,37.498267,127.027767,345.8,54.1,1.0,218864485,정상
11,37.4984,127.027717,345.8,54.1,1.0,239954010,이탈
12,37.498533,127.027683,345.8,54.1,1.0,239954010,이탈
13,37.49865,127.027633,345.8,54.1,1.0,520307304,정상
14,37.498783,127.0276,345.8,54.1,1.0,520307304,정상
15,37.498917,127.02755,345.8,54.1,1.0,520307304,정상
16,37.49905,127.027517,345.8,54.1,1.0,520307304,정상
17,37.499183,127.027467,345.8,54.1,1.0,520307304,정상
18,37.499317,127.027417,345.8,54.1,1.0,520307304,정상
